Plot;Stick;Clone;Diameter;Height
LB5;1b;Blue;1;140
LB5;1b;Blue;1,4;210
LB5;2b;Blue;<0.5;25
LB5;2b;Blue;1,7;250
LB5;3b;Blue;1,5;226
LB5;3b;Blue;1,4;216
LB5;4b;Blue;0,7;120
LB5;4b;Blue;1,35;240
LB5;4b;Blue;2,1;289
LB5;5b;Blue;2,4;227
LB5;6b;Blue;1;128
LB5;6b;Blue;1,15;152
LB5;6b;Blue;<0.5;33
LB5;1r;Red;1,45;210
LB5;1r;Red;1,4;223
LB5;2r;Red;1,65;278
LB5;2r;Red;1,65;280
LB5;2r;Red;2;320
LB5;3r;Red;1,1;218
LB5;3r;Red;2,2;258
LB5;4r;Red;1,3;120
LB5;4r;Red;1,25;106
LB5;5r;Red;1,2;173
LB5;5r;Red;1,5;221
LB5;5r;Red;0,9;150
LB5;6r;Red;1,75;304
LB5;6r;Red;1;163
LB5;6r;Red;2;340
LB5;1y;Yellow;1,15;187
LB5;1y;Yellow;1,1;169
LB5;2y;Yellow;2,4;273
LB5;3y;Yellow;0,9;136
LB5;3y;Yellow;0,9;143
LB5;4y;Yellow;2;238
LB5;4y;Yellow;1,4;170
LB5;5y;Yellow;2,4;250
LB5;6y;Yellow;1,1;185
