Plot;Stick;Clone;Diameter;Height
LB2;1r;Red;1,8;240
LB2;1r;Red;2,2;334
LB2;1r;Red;0,9;118
LB2;2r;Red;1,7;239
LB2;2r;Red;0,5;30
LB2;2r;Red;0,9;132,5
LB2;3r;Red;0,9;171
LB2;3r;Red;2;319,5
LB2;3r;Red;3,8;393,5
LB2;3r;Red;1,2;189,5
LB2;4r;Red;2,9;426
LB2;5r;Red;1,3;218
LB2;5r;Red;1,1;198
LB2;5r;Red;0,8;134
LB2;6r;Red;1,5;246
LB2;6r;Red;1,2;201
LB2;1b;Blue;1,2;199,5
LB2;1b;Blue;1,2;197
LB2;1b;Blue;0,7;137
LB2;2b;Blue;2,1;336
LB2;2b;Blue;1,2;210
LB2;3b;Blue;3;374
LB2;3b;Blue;1,8;355
LB2;3b;Blue;1,4;263
LB2;4b;Blue;2,4;364
LB2;4b;Blue;0,9;170
LB2;4b;Blue;0,6;86
LB2;4b;Blue;0,5;78
LB2;4b;Blue;0;0
LB2;5b;Blue;1,5;273
LB2;5b;Blue;<0,5;80
LB2;5b;Blue;2,4;338
LB2;6b;Blue;1,9;287
LB2;1y;Yellow;1,2;133,5
LB2;2y;Yellow;1,8;280
LB2;2y;Yellow;1,2;209
LB2;3y;Yellow;1,3;244
LB2;3y;Yellow;2,5;358
LB2;3y;Yellow;3,1;356
LB2;3y;Yellow;<0,5;70,5
LB2;4y;Yellow;1,8;273
LB2;5y;Yellow;0,6;86
LB2;5y;Yellow;1,7;250
LB2;5y;Yellow;1,8;276
LB2;5y;Yellow;1,9;266
LB2;6y;Yellow;1,5;217
LB2;6y;Yellow;0,6;85
LB2;6y;Yellow;0,5;81
