Plot;Stick;Clone;Diameter;Height
SB1;1b;Blue;1,3;170
SB1;1b;Blue;0,6;62
SB1;1b;Blue;<0.5;42
SB1;1b;Blue;1,45;214
SB1;1b;Blue;0,65;68
SB1;1b;Blue;0,5;51
SB1;1b;Blue;1,4;205
SB1;1b;Blue;1,6;186
SB1;2b;Blue;1,4;194
SB1;2b;Blue;0,85;130
SB1;2b;Blue;0,75;102
SB1;2b;Blue;<0.5;32
SB1;3b;Blue;0,65;52
SB1;3b;Blue;<0.5;43
SB1;3b;Blue;<0.5;30
SB1;3b;Blue;1,4;192
SB1;3b;Blue;1,6;145
SB1;4b;Blue;1,4;164
SB1;4b;Blue;1,5;132
SB1;4b;Blue;1,95;292
SB1;5b;Blue;<0.5;8
SB1;5b;Blue;0,5;52
SB1;5b;Blue;1,4;202
SB1;5b;Blue;1,3;112
SB1;5b;Blue;1;119
SB1;5b;Blue;1,35;181
SB1;6b;Blue;0,65;72
SB1;6b;Blue;0,9;116
SB1;6b;Blue;<0.5;24
SB1;6b;Blue;1,2;187
SB1;6b;Blue;0,55;60
SB1;1y;Yellow;0,5;71
SB1;1y;Yellow;0,6;89
SB1;1y;Yellow;0,95;159
SB1;1y;Yellow;1,1;196
SB1;1y;Yellow;1,15;183
SB1;2y;Yellow;1,7;170
SB1;2y;Yellow;1,9;220
SB1;3y;Yellow;2,6;243
SB1;3y;Yellow;2,25;213
SB1;4y;Yellow;2,3;220
SB1;5y;Yellow;<0.5;18
SB1;5y;Yellow;<0.5;47
SB1;5y;Yellow;0,85;118
SB1;6y;Yellow;<0.5;26
SB1;6y;Yellow;<0.5;17
SB1;6y;Yellow;1,85;240
SB1;6y;Yellow;2,45;247
SB1;1r;Red;1,9;262
SB1;1r;Red;0,9;118
SB1;2r;Red;0,6;56
SB1;2r;Red;0,9;120
SB1;2r;Red;1,1;134
SB1;2r;Red;1,5;220
SB1;3r;Red;2,3;266
SB1;3r;Red;1,9;219
SB1;3r;Red;1,8;93
SB1;3r;Red;0,75;93
SB1;3r;Red;<0.5;23
SB1;3r;Red;;
SB1;4r;Red;<0.5;37
SB1;4r;Red;1,45;185
SB1;4r;Red;1,1;165
SB1;4r;Red;1,7;223
SB1;5r;Red;1,1;56
SB1;6r;Red;0,65;94
SB1;6r;Red;1,55;218
SB1;6r;Red;1,65;262
SB1;6r;Red;1,7;92
SB1;6r;Red;<0.5;30
