Plot;Stick;Clone;Diameter;Height
SB3;1r;Red;1,8;193
SB3;1r;Red;1,2;133
SB3;1r;Red;1,3;140
SB3;1r;Red;0,9;72
SB3;2r;Red;1,3;193
SB3;2r;Red;1;119
SB3;2r;Red;0,5;39
SB3;3r;Red;1,6;193
SB3;3r;Red;1,1;146
SB3;4r;Red;2,3;333
SB3;4r;Red;1,3;218
SB3;4r;Red;1,3;184
SB3;5r;Red;2,1;328
SB3;5r;Red;1,4;192
SB3;5r;Red;1,1;177
SB3;5r;Red;1;112
SB3;6r;Red;2,1;326
SB3;6r;Red;1,6;248
SB3;6r;Red;0,9;124
SB3;6r;Red;0,5;80
SB3;1y;Yellow;2;310
SB3;1y;Yellow;1,9;264
SB3;1y;Yellow;0,9;103
SB3;1y;Yellow;<0.5;57
SB3;2y;Yellow;1;154
SB3;2y;Yellow;0,7;121
SB3;2y;Yellow;0,5;74
SB3;3y;Yellow;1,8;271
SB3;3y;Yellow;1,5;218
SB3;3y;Yellow;1,1;140
SB3;4y;Yellow;1,7;264
SB3;4y;Yellow;1;93
SB3;4y;Yellow;<0.5;80
SB3;4y;Yellow;<0.5;40
SB3;5y;Yellow;1,4;210
SB3;5y;Yellow;0,5;70
SB3;6y;Yellow;1,7;212
SB3;6y;Yellow;1;145
SB3;6y;Yellow;0,6;78
SB3;6y;Yellow;<0.5;23
SB3;1b;Blue;2,8;339
SB3;1b;Blue;1,1;169
SB3;1b;Blue;0,9;121
SB3;1b;Blue;0,8;111
SB3;1b;Blue;0,8;85
SB3;2b;Blue;3;422
SB3;2b;Blue;1;126
SB3;3b;Blue;1,8;291
SB3;4b;Blue;1,5;231
SB3;5b;Blue;1,4;201
SB3;5b;Blue;1,1;179
SB3;5b;Blue;1;170
SB3;5b;Blue;0,6;81
SB3;6b;Blue;1,8;262
SB3;6b;Blue;1,1;179
SB3;6b;Blue;0,8;91
SB3;6b;Blue;0,5;45,5
