Plot;Stick;Clone;Diameter;Height
LB1;1b;Blue;2,2;243
LB1;1b;Blue;1,4;197
LB1;1b;Blue;0,6;38
LB1;2b;Blue;1,6;235
LB1;2b;Blue;1,6;240
LB1;3b;Blue;0,6;111
LB1;3b;Blue;0,9;132
LB1;3b;Blue;1;250
LB1;3b;Blue;2,2;216
LB1;4b;Blue;1,2;197
LB1;4b;Blue;1,7;274
LB1;4b;Blue;2;323
LB1;5b;Blue;<0.5;69
LB1;5b;Blue;0,5;57
LB1;5b;Blue;0,9;152,5
LB1;5b;Blue;1,2;209
LB1;5b;Blue;2,1;319
LB1;6b;Blue;1,4;216
LB1;6b;Blue;1,7;281
LB1;1y;Yellow;0,6;83
LB1;1y;Yellow;1,2;231
LB1;2y;Yellow;0,5;97
LB1;2y;Yellow;0,7;101
LB1;2y;Yellow;1;171
LB1;2y;Yellow;1,8;240
LB1;3y;Yellow;0,7;122
LB1;3y;Yellow;1,5;243
LB1;4y;Yellow;<0.5;69
LB1;4y;Yellow;1,2;59
LB1;4y;Yellow;<0.5;50
LB1;5y;Yellow;0,7;90
LB1;5y;Yellow;1;194
LB1;5y;Yellow;1,6;299
LB1;6y;Yellow;3,7;410
LB1;1r;Red;1,7;283
LB1;1r;Red;1,8;297
LB1;1r;Red;2,2;339
LB1;2r;Red;1,7;268
LB1;3r;Red;2,8;370
LB1;4r;Red;<0.5;22
LB1;4r;Red;<0.5;42
LB1;4r;Red;<0.5;44
LB1;4r;Red;<0.5;75
LB1;4r;Red;0,6;72
LB1;4r;Red;1,5;100
LB1;4r;Red;1,6;266
LB1;5r;Red;0,7;74
LB1;5r;Red;0,8;196
LB1;5r;Red;1,5;247
LB1;5r;Red;1,7;300
LB1;6r;Red;1,7;308
