Plot;Stick;Clone;Diameter;Height
SB4;1b;Blue;0,75;75
SB4;1b;Blue;0,5;55
SB4;1b;Blue;0,85;78
SB4;1b;Blue;<0.5;42
SB4;1b;Blue;0,7;92
SB4;1b;Blue;1,2;137
SB4;1b;Blue;0,8;127
SB4;1b;Blue;1,3;174
SB4;1b;Blue;0,85;90
SB4;1b;Blue;0,65;61
SB4;2b;Blue;1,25;160
SB4;2b;Blue;0,55;33
SB4;3b;Blue;0,5;66
SB4;3b;Blue;0,6;83
SB4;3b;Blue;<0.5;12
SB4;3b;Blue;<0.5;8
SB4;3b;Blue;1,9;313
SB4;4b;Blue;1,85;297
SB4;4b;Blue;0,7;75
SB4;4b;Blue;0,5;54
SB4;4b;Blue;0,6;83
SB4;4b;Blue;0,75;99
SB4;5b;Blue;0,5;57
SB4;5b;Blue;1,6;247
SB4;5b;Blue;<0.5;33
SB4;5b;Blue;<0.5;34
SB4;6b;Blue;1,1;157
SB4;6b;Blue;1,5;217
SB4;6b;Blue;0,5;55
SB4;6b;Blue;0,5;68
SB4;6b;Blue;<0.5;25
SB4;1y;Yellow;1,6;229
SB4;1y;Yellow;0,9;146
SB4;1y;Yellow;1,35;207
SB4;1y;Yellow;0,55;78
SB4;2y;Yellow;1,3;205
SB4;2y;Yellow;1,6;234
SB4;2y;Yellow;0,8;129
SB4;2y;Yellow;0,5;67
SB4;3y;Yellow;1,1;147
SB4;3y;Yellow;1,6;265
SB4;3y;Yellow;0,5;79
SB4;4y;Yellow;1,65;218
SB4;4y;Yellow;0,6;59
SB4;4y;Yellow;1,3;223
SB4;5y;Yellow;2,4;334
SB4;5y;Yellow;0,5;72
SB4;5y;Yellow;1,2;207
SB4;5y;Yellow;0,75;123
SB4;5y;Yellow;0,65;112
SB4;5y;Yellow;<0.5;55
SB4;6y;Yellow;<0.5;6
SB4;6y;Yellow;0,5;50
SB4;6y;Yellow;1,2;219
SB4;6y;Yellow;1,9;296
SB4;1r;Red;0,5;38,5
SB4;1r;Red;<0.5;41
SB4;1r;Red;<0.5;20
SB4;2r;Red;<0.5;44
SB4;2r;Red;0,6;97
SB4;2r;Red;1,05;138
SB4;2r;Red;0,9;92
SB4;3r;Red;1,3;171
SB4;3r;Red;0,65;101
SB4;3r;Red;0,65;93
SB4;3r;Red;0,75;85
SB4;4r;Red;1,3;143
SB4;4r;Red;2,2;215
SB4;5r;Red;1,3;147
SB4;5r;Red;1,35;208
SB4;5r;Red;0,8;112
SB4;6r;Red;1,8;236
