Plot;Stick;Clone;Diameter;Height
LB1;1b;Blue;1,7;228
LB1;1b;Blue;1,2;179
LB1;1b;Blue;0,6;55
LB1;2b;Blue;<0.5;8
LB1;2b;Blue;1,4;207
LB1;2b;Blue;1,7;204
LB1;3b;Blue;0,9;122
LB1;3b;Blue;1,8;267
LB1;3b;Blue;1;130
LB1;3b;Blue;0,6;87
LB1;4b;Blue;1,65;280
LB1;4b;Blue;1,6;240
LB1;4b;Blue;1,1;171
LB1;5b;Blue;0,8;124
LB1;5b;Blue;0,6;172
LB1;5b;Blue;1,95;273
LB1;5b;Blue;0,5;71
LB1;5b;Blue;1;170
LB1;6b;Blue;1,7;175
LB1;6b;Blue;1,4;250
LB1;1y;Yellow;<0.5;3
LB1;1y;Yellow;1,1;195
LB1;1y;Yellow;0,6;84
LB1;2y;Yellow;0,9;199
LB1;2y;Yellow;1,3;144
LB1;2y;Yellow;0,6;89
LB1;2y;Yellow;0,55;78
LB1;3y;Yellow;1,15;200
LB1;3y;Yellow;0,8;144
LB1;3y;Yellow;<0.5;20
LB1;4y;Yellow;0;0
LB1;5y;Yellow;<0.5;10
LB1;5y;Yellow;<0.5;11
LB1;5y;Yellow;<0.5;1
LB1;5y;Yellow;0,5;83
LB1;5y;Yellow;0,9;172
LB1;5y;Yellow;1,35;153
LB1;6y;Yellow;2,7;343
LB1;1r;Red;1,4;250
LB1;1r;Red;1,8;296
LB1;1r;Red;1,3;252
LB1;2r;Red;1,8;217
LB1;3r;Red;2,6;342
LB1;4r;Red;0,5;45
LB1;4r;Red;1,65;212
LB1;4r;Red;0,5;61
LB1;4r;Red;0,6;78
LB1;4r;Red;1,35;210
LB1;5r;Red;0,7;89
LB1;5r;Red;1,5;251
LB1;5r;Red;0,8;130
LB1;5r;Red;1,1;188
LB1;6r;Red;1,6;246
