Plot;Stick;Clone;Diameter;Height
LB5;1b;Blue;1;165
LB5;1b;Blue;1,6;238
LB5;2b;Blue;1,9;263
LB5;3b;Blue;1,9;257
LB5;3b;Blue;1,6;140
LB5;4b;Blue;2,4;320
LB5;4b;Blue;0,8;136
LB5;4b;Blue;1,7;281
LB5;5b;Blue;2,5;265
LB5;6b;Blue;1,2;190
LB5;6b;Blue;1,1;190
LB5;1r;Red;1,7;267
LB5;1r;Red;1,6;267
LB5;2r;Red;2,4;350
LB5;2r;Red;1,6;300
LB5;2r;Red;1,9;327
LB5;3r;Red;1,7;257
LB5;3r;Red;1,6;258
LB5;4r;Red;1;127
LB5;4r;Red;0,9;196
LB5;5r;Red;1,4;206
LB5;5r;Red;1,5;255
LB5;5r;Red;1,3;188
LB5;6r;Red;2,4;350
LB5;6r;Red;2;340
LB5;6r;Red;0,9;164
LB5;1y;Yellow;1,4;226
LB5;1y;Yellow;1;173
LB5;2y;Yellow;2,9;312
LB5;3y;Yellow;1,1;166
LB5;3y;Yellow;1;167
LB5;4y;Yellow;1,7;264
LB5;4y;Yellow;1,5;201
LB5;5y;Yellow;2,2;300
LB5;6y;Yellow;1,2;216
