Plot;Stick;Clone;Diameter;Height
SB5;1y;Yellow;2,3;290
SB5;2y;Yellow;0,7;40
SB5;2y;Yellow;0,4;68
SB5;2y;Yellow;0,55;72
SB5;2y;Yellow;<0.5;40
SB5;2y;Yellow;<0.5;29
SB5;2y;Yellow;<0.5;26
SB5;3y;Yellow;0,7;88
SB5;4y;Yellow;1,5;270
SB5;5y;Yellow;2,1;274
SB5;5y;Yellow;2;320
SB5;6y;Yellow;1,25;180
SB5;6y;Yellow;1;107
SB5;6y;Yellow;1,95;285
SB5;6y;Yellow;1,6;245
SB5;1r;Red;<0.5;60
SB5;1r;Red;1,9;324
SB5;1r;Red;1,15;210
SB5;1r;Red;1,4;247
SB5;2r;Red;0,7;104
SB5;2r;Red;0,5;77
SB5;2r;Red;<0.5;67
SB5;2r;Red;0,75;111
SB5;2r;Red;0,75;73
SB5;2r;Red;<0.5;55,5
SB5;2r;Red;2;265
SB5;2r;Red;1,8;261
SB5;3r;Red;1,3;1,88
SB5;3r;Red;0,6;91
SB5;3r;Red;1;150
SB5;3r;Red;0,5;45
SB5;3r;Red;<0.5;40
SB5;4r;Red;1,7;60
SB5;4r;Red;0,7;70
SB5;4r;Red;0,6;77
SB5;5r;Red;0,85;110
SB5;5r;Red;0,7;87
SB5;5r;Red;0,85;70
SB5;5r;Red;0,65;38
SB5;5r;Red;<0.5;30
SB5;5r;Red;<0.5;14
SB5;5r;Red;<0.5;3
SB5;5r;Red;<0.5;10
SB5;5r;Red;<0.5;10
SB5;5r;Red;<0.5;12
SB5;6r;Red;1,9;260
SB5;6r;Red;2,5;280
SB5;6r;Red;1,15;158
SB5;6r;Red;0,6;96
SB5;6r;Red;<0.5;25
SB5;1b;Blue;1,9;275
SB5;1b;Blue;2,2;333
SB5;1b;Blue;1,45;270
SB5;2b;Blue;2,4;340
SB5;2b;Blue;<0.5;45
SB5;2b;Blue;<0.5;18
SB5;2b;Blue;<0.5;41
SB5;3b;Blue;1,2;142
SB5;3b;Blue;1,2;145
SB5;4b;Blue;0,65;93
SB5;4b;Blue;2,05;260
SB5;4b;Blue;1,6;229
SB5;5b;Blue;0,5;43
SB5;5b;Blue;<0.5;18
SB5;5b;Blue;<0.5;9
SB5;6b;Blue;1,1;120
