Plot;Stick;Clone;Diameter;Height
SB1;1b;Blue;1,5;197
SB1;1b;Blue;1,5;205
SB1;1b;Blue;1,6;209
SB1;1b;Blue;1,5;222
SB1;1b;Blue;<0,5;48
SB1;1b;Blue;0,8;75
SB1;1b;Blue;0,5;65
SB1;1b;Blue;0,6;79
SB1;2b;Blue;1,4;211
SB1;2b;Blue;0,9;128
SB1;2b;Blue;0,6;100
SB1;2b;Blue;<0,5;32
SB1;3b;Blue;1,5;217
SB1;3b;Blue;0,7;60
SB1;3b;Blue;1,2;144
SB1;3b;Blue;0,5;46
SB1;3b;Blue;<0,5;30,5
SB1;4b;Blue;1,4;175
SB1;4b;Blue;1,9;316
SB1;4b;Blue;1,5;150
SB1;5b;Blue;1,1;144
SB1;5b;Blue;1,4;202
SB1;5b;Blue;1,3;180
SB1;5b;Blue;0,9;117
SB1;5b;Blue;0,5;57
SB1;6b;Blue;0,9;114
SB1;6b;Blue;<0,5;17
SB1;6b;Blue;0,6;65
SB1;6b;Blue;0,5;32
SB1;6b;Blue;1;117
SB1;6b;Blue;0,8;78
SB1;6b;Blue;2,4;198
SB1;1y;Yellow;1,1;191
SB1;1y;Yellow;1,4;217
SB1;1y;Yellow;1,3;211
SB1;1y;Yellow;<0,5;72
SB1;1y;Yellow;0,6;91,5
SB1;2y;Yellow;0,6;83
SB1;2y;Yellow;1,8;308
SB1;2y;Yellow;1,4;236
SB1;2y;Yellow;1,7;296
SB1;2y;Yellow;1,6;264
SB1;2y;Yellow;<0,5;45
SB1;3y;Yellow;0,9;119
SB1;3y;Yellow;1,3;200
SB1;4y;Yellow;1,7;240
SB1;4y;Yellow;1,6;221
SB1;5y;Yellow;0,9;139
SB1;5y;Yellow;<0,5;34
SB1;6y;Yellow;<0,5;15
SB1;6y;Yellow;1,9;280
SB1;6y;Yellow;0,9;122
SB1;6y;Yellow;1,9;270
SB1;6y;Yellow;<0,5;25
SB1;1r;Red;1,7;275
SB1;1r;Red;0,9;120
SB1;2r;Red;1,1;88
SB1;2r;Red;1,8;240
SB1;2r;Red;0,6;52
SB1;2r;Red;1,2;128
SB1;2r;Red;1,4;215
SB1;3r;Red;1,4;246
SB1;3r;Red;1,6;234
SB1;3r;Red;1,9;299
SB1;3r;Red;0,6;59
SB1;3r;Red;1,6;244
SB1;3r;Red;<0,5;33
SB1;4r;Red;1,1;192
SB1;4r;Red;1,6;254
SB1;4r;Red;1,3;181
SB1;4r;Red;<0,5;25
SB1;5r;Red;1,1;81
SB1;6r;Red;0,9;91
SB1;6r;Red;0,8;115
SB1;6r;Red;1,4;237
SB1;6r;Red;1,8;290
SB1;6r;Red;<0,5;25
