Plot;Stick;Clone;Diameter;Height
SB3;1r;Red;1,4;160
SB3;1r;Red;0,9;128
SB3;1r;Red;0,5;117
SB3;1r;Red;<0.5;56
SB3;1r;Red;<0.5;23
SB3;1r;Red;<0.5;14
SB3;2r;Red;0,8;93
SB3;2r;Red;0,5;45
SB3;2r;Red;0,5;61
SB3;2r;Red;1,1;158
SB3;3r;Red;<0.5;25
SB3;3r;Red;0,8;120
SB3;3r;Red;1,3;157
SB3;4r;Red;<0.5;27
SB3;4r;Red;<0.5;32
SB3;4r;Red;2;312
SB3;4r;Red;1,15;150
SB3;4r;Red;1,1;188
SB3;5r;Red;<0.5;15
SB3;5r;Red;0,9;80
SB3;5r;Red;2;302
SB3;5r;Red;0,9;136
SB3;5r;Red;1,05;159
SB3;5r;Red;0,5;72
SB3;6r;Red;<0.5;34
SB3;6r;Red;<0.5;15
SB3;6r;Red;<0.5;6
SB3;6r;Red;1,4;108
SB3;6r;Red;1,7;211
SB3;6r;Red;0,5;81
SB3;6r;Red;1,8;300
SB3;1y;Yellow;0,7;105
SB3;1y;Yellow;1,5;236
SB3;1y;Yellow;1,7;276
SB3;1y;Yellow;<0.5;58
SB3;2y;Yellow;<0.5;28
SB3;2y;Yellow;<0.5;19
SB3;2y;Yellow;<0.5;54
SB3;2y;Yellow;<0.5;16
SB3;2y;Yellow;<0.5;15
SB3;2y;Yellow;0,9;123
SB3;2y;Yellow;1;128
SB3;3y;Yellow;1,2;180
SB3;3y;Yellow;0,8;132
SB3;3y;Yellow;1,5;227
SB3;4y;Yellow;<0.5;30
SB3;4y;Yellow;<0.5;40
SB3;4y;Yellow;<0.5;6
SB3;4y;Yellow;0,7;85
SB3;4y;Yellow;1,5;235
SB3;5y;Yellow;0,5;46
SB3;5y;Yellow;1,2;175
SB3;6y;Yellow;1,1;168
SB3;6y;Yellow;0,8;125
SB3;6y;Yellow;0,5;70
SB3;6y;Yellow;<0.5;32
SB3;6y;Yellow;<0.5;19
SB3;1b;Blue;3,1;312
SB3;1b;Blue;0,9;98
SB3;1b;Blue;0,8;101
SB3;1b;Blue;0,65;86
SB3;2b;Blue;1;134
SB3;2b;Blue;2,8;386
SB3;3b;Blue;1,65;257
SB3;4b;Blue;1,45;188
SB3;5b;Blue;1,2;140
SB3;5b;Blue;0,5;66
SB3;5b;Blue;0,85;120
SB3;5b;Blue;>0.5;17
SB3;5b;Blue;1;139
SB3;6b;Blue;1,45;222
SB3;6b;Blue;0,9;131
SB3;6b;Blue;0,55;69
SB3;6b;Blue;0,5;43
