Plot;Stick;Clone;Diameter;Height
SB4;1b;Blue;1,3;190
SB4;1b;Blue;<0,5;69
SB4;1b;Blue;0,7;102
SB4;1b;Blue;0,8;110
SB4;1b;Blue;0,9;140
SB4;1b;Blue;<0,5;61
SB4;1b;Blue;1,2;157
SB4;1b;Blue;0,7;83
SB4;1b;Blue;0,7;86
SB4;1b;Blue;<0,5;45
SB4;2b;Blue;1,3;205
SB4;3b;Blue;2;346
SB4;3b;Blue;0,6;92
SB4;3b;Blue;<0,5;71
SB4;3b;Blue;<0,5;53
SB4;4b;Blue;2,1;337
SB4;4b;Blue;<0,5;61
SB4;4b;Blue;0,6;91
SB4;4b;Blue;0,8;125
SB4;4b;Blue;0,6;102
SB4;5b;Blue;1,8;280
SB4;5b;Blue;<0,5;41
SB4;6b;Blue;1,2;200
SB4;6b;Blue;<0,5;61
SB4;6b;Blue;<0,5;56
SB4;6b;Blue;0,5;78
SB4;6b;Blue;1,7;260
SB4;1y;Yellow;0,5;90
SB4;1y;Yellow;<0,5;25
SB4;1y;Yellow;1,7;260
SB4;1y;Yellow;1;160
SB4;1y;Yellow;1,6;255
SB4;2y;Yellow;1,7;240
SB4;2y;Yellow;1,5;240
SB4;2y;Yellow;0,8;140
SB4;2y;Yellow;0,5;73
SB4;3y;Yellow;1,9;295
SB4;3y;Yellow;1,2;169
SB4;3y;Yellow;0,5;50
SB4;4y;Yellow;1,8;257
SB4;4y;Yellow;1,6;250
SB4;4y;Yellow;0,7;94
SB4;5y;Yellow;2,5;364
SB4;5y;Yellow;0,7;86
SB4;5y;Yellow;0,7;92
SB4;5y;Yellow;<0,5;49
SB4;5y;Yellow;<0,5;42
SB4;5y;Yellow;1,3;220
SB4;6y;Yellow;<0,5;34
SB4;6y;Yellow;2,1;328
SB4;6y;Yellow;1,3;245
SB4;2r;Red;<0,5;47
SB4;2r;Red;1,4;180
SB4;2r;Red;0,8;100
SB4;2r;Red;1;127
SB4;3r;Red;1,4;120
SB4;3r;Red;0,8;90
SB4;3r;Red;0,7;140
SB4;3r;Red;0,7;115
SB4;4r;Red;1,6;240
SB4;4r;Red;1,3;196
SB4;4r;Red;1;177
SB4;4r;Red;0,5;67
SB4;4r;Red;0,5;71
SB4;4r;Red;1,3;195
SB4;4r;Red;0,5;68
SB4;5r;Red;1,8;260
SB4;5r;Red;0,9;235
SB4;5r;Red;0,5;73
SB4;6r;Red;1,8;267
